#傳	𫝊 傳
瘦	痩 瘦
瘮	瘆 瘮
瘻	瘘 瘻
癈	㾱 癈
癘	疠 癘
癡	痴 癡
發	発 發
盜	盗 盜
盡	尽 盡
眍	眍 眍
眞	真 眞
眾	衆 眾
睜	睁 睜
瞜	䁖 瞜
碎	砕 碎
磣	碜 磣
礦	砿 鉱 礦
礪	砺 礪
祕	秘 祕
祿	禄 祿
禪	禅 禪
禮	礼 禮
禰	祢 禰
禱	祷 禱
稅	税 稅
稱	称 稱
稻	稲 稻
穇	䅟 穇
穎	頴 穎
穗	穂 穗
穩	穏 穩
穰	穣 穰
窗	窓 窗
窶	窭 窶
竈	竃 竈
竊	窃 竊
箏	筝 箏
簍	篓 簍
簞	箪 簞
籌	筹 籌
籠	篭 籠
粹	粋 粹
糝	糁 糝
絕	絶 絕
絲	糸 絲
經	経 經
綠	緑 綠
綷	紣 綷
緣	縁 緣
縕	緼 縕
縣	県 縣
縱	縦 縱
總	総 總
繡	繍 繡
繩	縄 繩
繪	絵 繪
繫	繋 繫
繼	継 繼
纃	緕 纃
續	続 續
纖	繊 纖
纘	纉 纘
缺	欠 缺
欠缺	欠缺
罐	缶 罐
翠	翆 翠
耬	耧 耬
聯	連 聯
聰	聡 聰
聲	声 聲
聽	聴 聽
肅	粛 肅
脣	唇 脣
脫	脱 脫
腦	脳 腦
腳	脚 腳
膃	腽 膃
膽	胆 膽
臟	臓 臟
臺	台 臺
與	与 與
舉	挙 舉
舊	旧 舊
舍	舎 舍
舖	舗 舖
艫	舮 艫
艷	艶 艷
莊	荘 莊 庄
莖	茎 莖
萊	莱 萊
萬	万 萬
蒕	蒀 蒕
蔘	参 蔘
蔞	蒌 蔞
蔣	蒋 蔣
薰	薫 薰
薵	䓓 薵
薺	萕 薺
藎	荩 藎
藏	蔵 藏
藝	芸 藝
藥	薬 藥
藪	薮 藪
蘂	蕊 蘂
蘆	芦 蘆
處	処 處
虛	虚 虛
號	号 號
蛵	蛏 蛵
螢	蛍 螢
螻	蝼 螻
蟬	蝉 蟬
蟲	虫 蟲
蠅	蝿 蠅
蠆	虿 蠆
蠟	蝋 蠟
蠣	蛎 蠣
蠶	蚕 蠶
蠻	蛮 蠻
裝	装 裝
褸	褛 褸
襄	㐮 襄
襌	褝 襌
覺	覚 覺
覽	覧 覽
觀	観 觀
觸	触 觸
說	説 說
諫	諌 諫
謠	謡 謠
證	証 證
譖	譛 譖
譯	訳 譯
譽	誉 譽
讀	読 讀
變	変 變
讓	譲 讓
讚	讃 讚
豐	豊 豐
豫	予 豫
豬	猪 豬
貓	猫 貓
貙	䝙 貙
貳	弐 貳
賣	売 賣
賤	賎 賤
賴	頼 賴
贊	賛 贊
贐	䝲 贐
趲	䟎 趲
跺	跥 跺
踐	践 踐
躉	趸 躉
