#上	丄
鬝	鬜 鬝
麯	麴 麯
麵	麪 麵
麻痹	痲痹 麻痹
龐	厖 龐
龐	庬 龐
#涵	𣹢 涵
菡	䓿 菡
#簡	𥳑 簡
鐧	鐗 鐧
鷼	鷳 鷼
揪	揫 揪
辭	辝 辭
覷	覰 覷
